questionId,label,nextId,feedbackIcon,feedbackTitle,feedbackMessage
q_age_group,"🌱 Little ones (0–12)",out_early_primary,🌱,"Wonderful choice, {name}!","Early childhood education is incredibly rewarding! 85% of early childhood graduates report high job satisfaction, working with children from birth to 12 years."
q_age_group,"📚 Primary kids (5–12)",q_primary_path,📚,"Great thinking, {name}!","70% of students pursuing Bachelor of Teaching in Primary Education enrol as double degree students for broader career opportunities!"
q_age_group,"🎒 Kids & teens (5–18)",q_ps_hpe,🎒,"Excellent pick, {name}!","Teaching across both primary and secondary levels opens up amazing career flexibility! You'll be qualified to teach students aged 5-18."
q_age_group,"🎤 Teens (12–18)",q_secondary_area,🎤,"Smart choice, {name}!","Secondary teaching is in high demand! 90% of secondary education graduates find employment within 6 months of graduating."
q_primary_path,"🔀 Double degree with Arts/Business/Fine Art/Music/Science",out_primary_double,🔀,"Brilliant decision, {name}!","Double degree students often find more diverse career opportunities! Same 4 years, double the expertise and career options."
q_primary_path,"🎯 Straight up Primary Education",out_primary_single,🎯,"Perfect focus, {name}!","Focused primary education degrees provide deep specialisation! You'll be teaching across all key learning areas from Foundation to Year 6."
q_ps_hpe,"💪 Yep, Health & PE is my jam",out_ps_hpe,,,
q_ps_hpe,"🙅‍♀️ Not really my thing",q_ps_inclusion,,,
q_ps_inclusion,"💖 Super important — make it my focus",out_ps_inclusive,💖,"Amazing choice, {name}!","Inclusive education specialists are desperately needed! You'll be making a real difference supporting diverse learners and championing inclusion."
q_ps_inclusion,"🤷 Not really my thing",out_ps_general,🎓,"Great approach, {name}!","General primary and secondary education offers incredible variety! You'll teach across different year levels and can specialise later."
q_secondary_area,"🎭 Arts, languages & media",out_sec_arts_lang_media,🎭,"Creative choice, {name}!","Arts, languages and media teachers inspire creativity! You'll choose two teaching areas from languages, humanities, media, psychology and more."
q_secondary_area,"💼 Business & economics",out_sec_business_econ,💼,"Smart thinking, {name}!","Business and economics teachers are highly valued! You'll be preparing students for real-world financial literacy and career success."
q_secondary_area,"🎶 Music",out_sec_music,🎶,"Harmonious choice, {name}!","Music education combines passion with pedagogy! You'll be inspiring the next generation of musicians and music lovers."
q_secondary_area,"🔬 Science & digital tech",out_sec_science_tech,🔬,"Brilliant selection, {name}!","STEM teachers are in huge demand! Choose from maths, biology, chemistry, physics, psychology or digital technologies."
q_secondary_area,"🎨 Visual arts",out_sec_visual_arts,🎨,"Artistic vision, {name}!","Visual arts teachers nurture creativity! This double degree format gives you both artistic expertise and teaching skills."
q_secondary_area,"🏃 Health & PE",out_sec_hpe,🏃,"Active choice, {name}!","Secondary HPE specialists are essential! You can even add a third teaching area like business or maths for extra versatility."
