questionId,optionId,label,description,nextId,feedbackIcon,feedbackTitle,feedbackMessage
q_age_group,early_primary,"🌱 Little ones (0–12)","Work with children during their **most formative years** - from `birth to 12`",out_early_primary,🌱,"Wonderful choice, {name}!","Early childhood education is incredibly rewarding! 85% of early childhood graduates report high job satisfaction, working with children from birth to 12 years."
q_age_group,primary_only,"📚 Primary kids (5–12)","Build **foundational skills** in *reading, writing, and numeracy*",q_primary_path,📚,"Great thinking, {name}!","70% of students pursuing Bachelor of Teaching in Primary Education enrol as double degree students for broader career opportunities!"
q_age_group,primary_secondary,"🎒 Kids & teens (5–18)","Teach across **both levels** for *maximum flexibility* and variety",q_ps_hpe,🎒,"Excellent pick, {name}!","Teaching across both primary and secondary levels opens up amazing career flexibility! You'll be qualified to teach students aged 5-18."
q_age_group,secondary_only,"🎤 Teens (12–18)","Specialize in **subject areas** and help teens prepare for their *future*",q_secondary_area,🎤,"Smart choice, {name}!","Secondary teaching is in high demand! 90% of secondary education graduates find employment within 6 months of graduating."
q_primary_path,primary_double,"🔀 Double degree with Arts/Business/Fine Art/Music/Science","Combine education with **another field** for *broader career options*",out_primary_double,🔀,"Brilliant decision, {name}!","Double degree students often find more diverse career opportunities! Same 4 years, double the expertise and career options."
q_primary_path,primary_single,"🎯 Straight up Primary Education","Focus **solely on teaching** - deep dive into *educational theory* and practice",out_primary_single,🎯,"Perfect focus, {name}!","Focused primary education degrees provide deep specialisation! You'll be teaching across all key learning areas from Foundation to Year 6."
q_ps_hpe,yes_hpe,"💪 Yep, Health & PE is my jam","Combine **physical activity** with *health education* - keep kids active and healthy",out_ps_hpe,,,
q_ps_hpe,no_hpe,"🙅‍♀️ Not really my thing","Focus on **academic subjects** rather than *physical education*",q_ps_inclusion,,,
q_ps_inclusion,incl_focus,"💖 Super important — make it my focus","Specialize in supporting students with **diverse learning needs** and *disabilities*",out_ps_inclusive,💖,"Amazing choice, {name}!","Inclusive education specialists are desperately needed! You'll be making a real difference supporting diverse learners and championing inclusion."
q_ps_inclusion,incl_not_focus,"🤷 Not really my thing","Focus on **mainstream teaching** across *general curriculum areas*",out_ps_general,🎓,"Great approach, {name}!","General primary and secondary education offers incredible variety! You'll teach across different year levels and can specialise later."
q_secondary_area,sec_arts_lang_media,"🎭 Arts, languages & media","Inspire **creativity** through *languages, humanities, media* and cultural studies",out_sec_arts_lang_media,🎭,"Creative choice, {name}!","Arts, languages and media teachers inspire creativity! You'll choose two teaching areas from languages, humanities, media, psychology and more."
q_secondary_area,sec_business_econ,"💼 Business & economics","Teach **financial literacy** and prepare students for the *business world*",out_sec_business_econ,💼,"Smart thinking, {name}!","Business and economics teachers are highly valued! You'll be preparing students for real-world financial literacy and career success."
q_secondary_area,sec_music,"🎶 Music","Combine your **musical passion** with *teaching the next generation*",out_sec_music,🎶,"Harmonious choice, {name}!","Music education combines passion with pedagogy! You'll be inspiring the next generation of musicians and music lovers."
q_secondary_area,sec_science_tech,"🔬 Science & digital tech","Teach **STEM subjects** - maths, sciences, or *digital technologies*",out_sec_science_tech,🔬,"Brilliant selection, {name}!","STEM teachers are in huge demand! Choose from maths, biology, chemistry, physics, psychology or digital technologies."
q_secondary_area,sec_visual_arts,"🎨 Visual arts","Nurture **artistic creativity** and *visual expression* in teenagers",out_sec_visual_arts,🎨,"Artistic vision, {name}!","Visual arts teachers nurture creativity! This double degree format gives you both artistic expertise and teaching skills."
q_secondary_area,sec_hpe,"🏃 Health & PE","Focus on **physical fitness** and *health education* for adolescents",out_sec_hpe,🏃,"Active choice, {name}!","Secondary HPE specialists are essential! You can even add a third teaching area like business or maths for extra versatility."
